Accession,Gene Name,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Abundances A1,Abundances A2,Abundances A3,Abundances B1,Abundances B2,Abundances B3,Fold Change,p-value
Q9D7N9,Apmap,Adipocyte plasma membrane-associated protein OS=Mus musculus OX=10090 GN=Apmap PE=1 SV=1,34.21686747,12,20,12,415,46.405,6.32,96.2,107.8,99,100.7,98.3,97.9,0.979867987,0.602610352
Q9DD02,Hikeshi,Protein Hikeshi OS=Mus musculus OX=10090 GN=Hikeshi PE=1 SV=1,8.121827411,1,1,1,197,21.605,5.45,90.5,116.6,95.9,94.1,104.9,97.9,0.979867987,0.823910459
Q91VR7,Map1lc3a,Microtubule-associated proteins 1A/1B light chain 3A OS=Mus musculus OX=10090 GN=Map1lc3a PE=1 SV=1,11.57024793,1,1,1,121,14.263,8.68,102.7,97.2,103.1,99.1,101.2,96.6,0.979867987,0.430616186
P70670,Naca,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Mus musculus OX=10090 GN=Naca PE=1 SV=2",3.520804755,6,28,6,2187,220.364,9.35,104.6,93.8,104.7,100,99.9,97,0.979544705,0.610725643
Q3U3R4,Lmf1,Lipase maturation factor 1 OS=Mus musculus OX=10090 GN=Lmf1 PE=1 SV=1,5.74912892,3,3,3,574,65.835,9.29,95.1,113.9,94.1,100.7,103.4,92.8,0.979544705,0.787835337
P60867,Rps20,40S ribosomal protein S20 OS=Mus musculus OX=10090 GN=Rps20 PE=1 SV=1,53.78151261,7,27,7,119,13.364,9.94,101.5,97.7,103.9,103,98.2,95.7,0.979544705,0.501559085
O54879,Hmgb3,High mobility group protein B3 OS=Mus musculus OX=10090 GN=Hmgb3 PE=1 SV=3,33.5,7,15,6,200,22.995,8.37,104.8,87.8,110.5,98.6,100.5,97.8,0.979544705,0.778382481
Q80TL7,Mon2,Protein MON2 homolog OS=Mus musculus OX=10090 GN=Mon2 PE=1 SV=2,10.43731778,15,17,15,1715,188.958,6.13,98.9,110.2,94,94.4,104.5,98,0.979544705,0.732335007
Q61581,Igfbp7,Insulin-like growth factor-binding protein 7 OS=Mus musculus OX=10090 GN=Igfbp7 PE=1 SV=3,9.964412811,3,4,3,281,28.951,8.31,95.4,114.1,93.6,93.4,109.8,93.7,0.979544705,0.819922065
P70414,Slc8a1,Sodium/calcium exchanger 1 OS=Mus musculus OX=10090 GN=Slc8a1 PE=1 SV=1,1.443298969,1,1,1,970,107.967,5,105,108.7,89.4,91.3,120,85.6,0.979544705,0.873470191
Q9CYC6,Dcp2,m7GpppN-mRNA hydrolase OS=Mus musculus OX=10090 GN=Dcp2 PE=1 SV=2,4.976303318,2,2,2,422,48.349,7.94,102.8,105.3,95.1,101.7,98.9,96.3,0.979221636,0.574824433
Q7TT50,Cdc42bpb,Serine/threonine-protein kinase MRCK beta OS=Mus musculus OX=10090 GN=Cdc42bpb PE=1 SV=2,20.84063047,30,36,26,1713,194.63,6.46,97.5,108.1,97.6,93.1,108.6,95.2,0.979221636,0.743772476
Q9WVL2,Stat2,Signal transducer and activator of transcription 2 OS=Mus musculus OX=10090 GN=Stat2 PE=1 SV=1,14.40953413,11,13,11,923,105.351,5.27,100.3,104.2,98.7,98.8,101.1,97,0.979221636,0.356978145
Q9CWU9,Nup37,Nucleoporin Nup37 OS=Mus musculus OX=10090 GN=Nup37 PE=1 SV=2,19.93865031,6,8,6,326,36.708,6.09,104.8,93.6,104.8,99.1,98.8,99,0.979221636,0.603902164
Q8K0B2,Lmbrd1,Probable lysosomal cobalamin transporter OS=Mus musculus OX=10090 GN=Lmbrd1 PE=1 SV=1,3.351955307,1,1,1,537,61.023,7.53,91,113.9,98.3,101.5,97.1,98.3,0.979221636,0.775423177
Q80Y55,Bsdc1,BSD domain-containing protein 1 OS=Mus musculus OX=10090 GN=Bsdc1 PE=1 SV=1,9.133489461,2,2,2,427,46.924,4.4,103.6,104.1,95.5,96.3,109.3,91.3,0.979221636,0.745815474
O88559,Men1,Menin OS=Mus musculus OX=10090 GN=Men1 PE=1 SV=2,1.636661211,1,1,1,611,67.458,6.39,99.7,110.7,92.8,92.6,104.5,99.8,0.979221636,0.753996064
P80313,Cct7,T-complex protein 1 subunit eta OS=Mus musculus OX=10090 GN=Cct7 PE=1 SV=1,66.54411765,29,107,29,544,59.614,7.84,104.1,95.1,103.9,101.7,98.2,96.9,0.979214781,0.558594971
P61028,Rab8b,Ras-related protein Rab-8B OS=Mus musculus OX=10090 GN=Rab8b PE=1 SV=1,42.51207729,9,34,2,207,23.588,9.07,110,96.9,96.2,92.2,104.1,100.5,0.979214781,0.7314853
Q3TIU4,Pde12,"2',5'-phosphodiesterase 12 OS=Mus musculus OX=10090 GN=Pde12 PE=1 SV=2",22.69736842,10,12,10,608,67.471,6.92,102.6,101.6,98.9,99.1,101.7,96,0.979214781,0.349488959
P61211,Arl1,ADP-ribosylation factor-like protein 1 OS=Mus musculus OX=10090 GN=Arl1 PE=1 SV=1,63.5359116,8,17,8,181,20.398,5.72,98.2,103.2,101.7,98.8,101.1,96.9,0.979214781,0.334497504
Q60767,Ly75,Lymphocyte antigen 75 OS=Mus musculus OX=10090 GN=Ly75 PE=1 SV=2,2.901915264,4,5,4,1723,197.225,6.39,100.6,101.5,101,97.6,102.3,96.9,0.979214781,0.288020675
Q3TZZ7,Esyt2,Extended synaptotagmin-2 OS=Mus musculus OX=10090 GN=Esyt2 PE=1 SV=1,45.68047337,28,50,28,845,94.081,7.75,100.5,102,100.7,99.9,100.2,96.7,0.978891821,0.1538929
P56399,Usp5,Ubiquitin carboxyl-terminal hydrolase 5 OS=Mus musculus OX=10090 GN=Usp5 PE=1 SV=1,35.54778555,22,38,22,858,95.772,5.01,99.6,104.6,99,101.3,97.7,97.8,0.978891821,0.373953368
Q02819,Nucb1,Nucleobindin-1 OS=Mus musculus OX=10090 GN=Nucb1 PE=1 SV=2,44.44444444,18,38,18,459,53.376,5.07,99.3,105.4,98.5,98.9,101.1,96.8,0.978891821,0.442867538
Q8JZQ2,Afg3l2,AFG3-like protein 2 OS=Mus musculus OX=10090 GN=Afg3l2 PE=1 SV=1,26.80798005,18,25,14,802,89.463,8.6,102,105.1,96.1,97.1,101.2,98.5,0.978891821,0.502893058
Q62018,Ctr9,RNA polymerase-associated protein CTR9 homolog OS=Mus musculus OX=10090 GN=Ctr9 PE=1 SV=2,13.12872975,12,14,12,1173,133.326,6.49,99,111,93.2,98.4,101.9,96.5,0.978891821,0.716637096
Q6ZQ03,Fnbp4,Formin-binding protein 4 OS=Mus musculus OX=10090 GN=Fnbp4 PE=1 SV=2,2.909796314,2,3,2,1031,111.177,4.73,102.5,97.4,103.3,99.3,100.3,97.2,0.978891821,0.359155358
P51660,Hsd17b4,Peroxisomal multifunctional enzyme type 2 OS=Mus musculus OX=10090 GN=Hsd17b4 PE=1 SV=3,37.95918367,22,44,22,735,79.432,8.57,98.8,103.5,100.9,98.4,101.9,96.5,0.978891821,0.364145688
Q9DBY8,Nvl,Nuclear valosin-containing protein-like OS=Mus musculus OX=10090 GN=Nvl PE=1 SV=1,30.40935673,18,21,18,855,94.417,6.35,102.7,99.5,101,96.1,101.1,99.6,0.978891821,0.288873675
Q9D2R6,Coa3,"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial OS=Mus musculus OX=10090 GN=Coa3 PE=1 SV=1",9.259259259,1,2,1,108,11.979,9.86,108.8,88.9,105.5,98.6,100.3,97.9,0.978891821,0.748053575
O88856,Tpst2,Protein-tyrosine sulfotransferase 2 OS=Mus musculus OX=10090 GN=Tpst2 PE=1 SV=1,9.308510638,3,4,3,376,42.04,9.35,101.1,104.7,97.4,97.6,104,95.2,0.978891821,0.560797877
Q9Z0W3,Nup160,Nuclear pore complex protein Nup160 OS=Mus musculus OX=10090 GN=Nup160 PE=1 SV=2,19.82881598,22,27,22,1402,158.13,5.52,106.2,101.6,95.4,96.5,102.7,97.6,0.978891821,0.591829425
Q9JLZ8,Sigirr,Single Ig IL-1-related receptor OS=Mus musculus OX=10090 GN=Sigirr PE=1 SV=2,14.42542787,4,5,4,409,46.129,5.74,99.2,108.6,95.4,98.1,102.8,95.9,0.978891821,0.654532522
Q9CQV8,Ywhab,14-3-3 protein beta/alpha OS=Mus musculus OX=10090 GN=Ywhab PE=1 SV=3,50.40650407,11,91,5,246,28.069,4.83,107.5,87.8,108,100.6,97.4,98.8,0.978569074,0.763138569
P61089,Ube2n,Ubiquitin-conjugating enzyme E2 N OS=Mus musculus OX=10090 GN=Ube2n PE=1 SV=1,46.05263158,7,34,7,152,17.127,6.57,103.2,96.2,103.9,102.2,95.7,98.9,0.978569074,0.522170315
Q921W4,Cryzl1,Quinone oxidoreductase-like protein 1 OS=Mus musculus OX=10090 GN=Cryzl1 PE=1 SV=1,12.06896552,3,4,3,348,38.701,5.97,102.8,99.4,101,102.9,96.3,97.5,0.978562005,0.391025138
P62313,Lsm6,U6 snRNA-associated Sm-like protein LSm6 OS=Mus musculus OX=10090 GN=Lsm6 PE=1 SV=1,35,3,6,3,80,9.122,9.58,97.5,106,99.7,98.4,97.1,101.2,0.978562005,0.485111571
Q8R016,Blmh,Bleomycin hydrolase OS=Mus musculus OX=10090 GN=Blmh PE=1 SV=1,50.76923077,17,28,17,455,52.477,6.48,103.7,95.5,104.1,100.8,97.5,98.4,0.978239367,0.500031814
Q62261,Sptbn1,"Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptbn1 PE=1 SV=2",59.50063479,113,196,107,2363,274.052,5.58,99.9,102.8,100.6,96.8,101.4,98.5,0.978239367,0.241631616
P24547,Impdh2,Inosine-5'-monophosphate dehydrogenase 2 OS=Mus musculus OX=10090 GN=Impdh2 PE=1 SV=2,46.49805447,21,40,19,514,55.78,7.28,104.9,94.3,104.1,98,101.1,97.6,0.978239367,0.572393282
Q61749,Eif2b4,Translation initiation factor eIF-2B subunit delta OS=Mus musculus OX=10090 GN=Eif2b4 PE=1 SV=2,22.32824427,8,8,8,524,57.588,9.25,98.6,105.3,99.4,100.4,98,98.3,0.978239367,0.382307956
Q9D338,Mrpl19,"39S ribosomal protein L19, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl19 PE=1 SV=1",8.219178082,2,2,2,292,33.556,9.44,102.7,99.9,100.7,100.1,108.7,87.9,0.978239367,0.736248868
Q6J9G1,Styk1,Tyrosine-protein kinase STYK1 OS=Mus musculus OX=10090 GN=Styk1 PE=2 SV=2,2.331002331,1,2,1,429,48.09,8.29,110.4,108.8,84.1,96.4,95,105.3,0.978239367,0.820915587
P63017,Hspa8,Heat shock cognate 71 kDa protein OS=Mus musculus OX=10090 GN=Hspa8 PE=1 SV=1,65.01547988,37,368,25,646,70.827,5.52,103.8,95,104.5,101.3,94.9,100.5,0.978239367,0.580195059
Q9QY06,Myo9b,Unconventional myosin-IXb OS=Mus musculus OX=10090 GN=Myo9b PE=1 SV=2,8.609271523,15,21,13,2114,238.685,8.63,103.7,96.3,103.3,98.6,98.8,99.3,0.978239367,0.413272386
Q91ZR1,Rab4b,Ras-related protein Rab-4B OS=Mus musculus OX=10090 GN=Rab4b PE=1 SV=2,33.8028169,6,14,5,213,23.614,6.06,98.1,109.9,95.3,100.1,99.8,96.8,0.978239367,0.657159394
Q9Z255,Ube2a,Ubiquitin-conjugating enzyme E2 A OS=Mus musculus OX=10090 GN=Ube2a PE=1 SV=1,17.76315789,2,2,2,152,17.305,5.15,104.6,102.2,96.5,100.7,98.8,97.2,0.978239367,0.446151252
Q6ZWN5,Rps9,40S ribosomal protein S9 OS=Mus musculus OX=10090 GN=Rps9 PE=1 SV=3,54.63917526,17,66,17,194,22.578,10.65,101.9,98.3,103.2,98.3,97,101.4,0.977916941,0.318639169
Q91VE6,Nifk,MKI67 FHA domain-interacting nucleolar phosphoprotein OS=Mus musculus OX=10090 GN=Nifk PE=1 SV=1,47.00315457,11,14,11,317,36.242,10.24,98.7,108.4,96.3,97.9,99.9,98.9,0.977916941,0.582914017
O35099,Map3k5,Mitogen-activated protein kinase kinase kinase 5 OS=Mus musculus OX=10090 GN=Map3k5 PE=1 SV=3,5.217391304,6,6,6,1380,154.414,5.78,103.7,103.9,95.8,94.4,104.7,97.6,0.977916941,0.61042696
Q99KP6,Prpf19,Pre-mRNA-processing factor 19 OS=Mus musculus OX=10090 GN=Prpf19 PE=1 SV=1,42.65873016,15,37,15,504,55.204,6.61,105.7,91,106.7,103.2,93,100.5,0.977916941,0.725214735
Q8C0M9,Asrgl1,Isoaspartyl peptidase/L-asparaginase OS=Mus musculus OX=10090 GN=Asrgl1 PE=1 SV=1,41.41104294,10,26,10,326,33.928,7.65,104.9,94.6,103.9,102.3,98.1,96.3,0.977916941,0.581618065
Q8JZR0,Acsl5,Long-chain-fatty-acid--CoA ligase 5 OS=Mus musculus OX=10090 GN=Acsl5 PE=1 SV=1,16.10541728,9,12,7,683,76.157,7.09,103,95.2,105.2,98.3,100.6,97.8,0.977916941,0.517967539
Q8VE96,Slc35f6,Solute carrier family 35 member F6 OS=Mus musculus OX=10090 GN=Slc35f6 PE=1 SV=1,4.032258065,1,1,1,372,40.952,7.14,112.8,89,101.6,98.6,103.4,94.7,0.977916941,0.775517501
Q9DBX2,Pdcl,Phosducin-like protein OS=Mus musculus OX=10090 GN=Pdcl PE=1 SV=1,19.93355482,6,6,6,301,34.385,4.87,100.3,100.2,102.9,98.4,101.8,96.5,0.977916941,0.2789412
Q01147,Creb1,Cyclic AMP-responsive element-binding protein 1 OS=Mus musculus OX=10090 GN=Creb1 PE=1 SV=1,8.797653959,3,7,3,341,36.652,5.57,107.1,91.9,104.4,97.3,101.9,97.5,0.977916941,0.673219883
Q9CQY1,Atg12,Ubiquitin-like protein ATG12 OS=Mus musculus OX=10090 GN=Atg12 PE=1 SV=1,6.382978723,1,1,1,141,15.198,4.97,105.4,93.2,104.8,95.4,105.1,96.2,0.977916941,0.680740109
P68040,Rack1,Receptor of activated protein C kinase 1 OS=Mus musculus OX=10090 GN=Rack1 PE=1 SV=3,94.32176656,24,96,24,317,35.055,7.69,105.3,91.3,106.7,102.5,96.9,97.2,0.97790966,0.692013087
Q8CBW3,Abi1,Abl interactor 1 OS=Mus musculus OX=10090 GN=Abi1 PE=1 SV=3,27.02702703,10,15,10,481,52.255,7.64,104.6,98,100.7,97.2,103.4,96,0.97790966,0.496337539
Q9D0D4,Dimt1,Probable dimethyladenosine transferase OS=Mus musculus OX=10090 GN=Dimt1 PE=2 SV=1,26.51757188,8,15,8,313,35.252,9.99,100.5,105.6,97.2,98.9,100,97.7,0.97790966,0.427573153
Q3V009,Tmed1,Transmembrane emp24 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Tmed1 PE=1 SV=1,17.18061674,3,4,3,227,25.247,4.5,98.2,102.2,102.9,95.4,103.5,97.7,0.97790966,0.47266773
P70372,Elavl1,ELAV-like protein 1 OS=Mus musculus OX=10090 GN=Elavl1 PE=1 SV=2,41.71779141,11,31,11,326,36.146,9.04,101.4,99,102.9,99.3,100.6,96.7,0.97790966,0.23860655
P17012,Zfx,Zinc finger X-chromosomal protein OS=Mus musculus OX=10090 GN=Zfx PE=1 SV=2,5.131414268,3,6,2,799,89.969,6.19,106.2,95.9,101.2,98.6,97.3,100.7,0.97790966,0.515498308
Q7TMY8,Huwe1,E3 ubiquitin-protein ligase HUWE1 OS=Mus musculus OX=10090 GN=Huwe1 PE=1 SV=5,15.78706877,55,83,55,4377,482.332,5.22,99.6,104.7,99.1,97.2,102.9,96.5,0.977587343,0.448973516
Q99NB9,Sf3b1,Splicing factor 3B subunit 1 OS=Mus musculus OX=10090 GN=Sf3b1 PE=1 SV=1,42.86809816,40,75,40,1304,145.724,7.09,100.8,100.9,101.7,99.1,98.5,99,0.977587343,0.002628545
O70310,Nmt1,Glycylpeptide N-tetradecanoyltransferase 1 OS=Mus musculus OX=10090 GN=Nmt1 PE=1 SV=1,30.24193548,12,24,8,496,56.852,8,104.7,98.2,100.5,97.9,100.4,98.3,0.977587343,0.331882605
Q921H8,Acaa1a,"3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus OX=10090 GN=Acaa1a PE=1 SV=1",47.16981132,12,23,12,424,43.926,8.44,96,107.9,99.5,97.6,101.6,97.4,0.977587343,0.581693734
Q9EQH2,Erap1,Endoplasmic reticulum aminopeptidase 1 OS=Mus musculus OX=10090 GN=Erap1 PE=1 SV=2,25.59139785,23,34,23,930,106.531,6.2,101,96.7,105.7,99.2,98.5,98.9,0.977587343,0.433632358
O08756,Hsd17b10,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus OX=10090 GN=Hsd17b10 PE=1 SV=4,47.89272031,9,16,9,261,27.402,8.41,98.9,104,100.5,103.4,96.3,96.9,0.977587343,0.452573612
Q9WTX8,Mad1l1,Mitotic spindle assembly checkpoint protein MAD1 OS=Mus musculus OX=10090 GN=Mad1l1 PE=1 SV=1,24.26778243,15,20,15,717,83.49,5.66,100.6,105.1,97.7,97.8,102.2,96.6,0.977587343,0.455274688
Q9JHW2,Nit2,Omega-amidase NIT2 OS=Mus musculus OX=10090 GN=Nit2 PE=1 SV=1,50.72463768,10,15,10,276,30.483,6.9,94.7,107.5,101.2,101.5,99.3,95.8,0.977587343,0.605628363
Q99JF5,Mvd,Diphosphomevalonate decarboxylase OS=Mus musculus OX=10090 GN=Mvd PE=1 SV=2,19.45137157,5,6,5,401,44.044,6.3,101.8,93.3,108.3,96.7,101.9,98,0.977587343,0.649077327
Q8K2Y7,Mrpl47,"39S ribosomal protein L47, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl47 PE=1 SV=2",26.19047619,6,8,6,252,29.707,10.21,104.5,94.4,104.5,98,103.8,94.8,0.977587343,0.62399986
Q8K0C1,Ipo13,Importin-13 OS=Mus musculus OX=10090 GN=Ipo13 PE=1 SV=1,4.465212876,4,4,4,963,108.16,5.3,105.2,98,100.2,99.6,96.6,100.4,0.977587343,0.402670535
Q91W43,Gldc,"Glycine dehydrogenase (decarboxylating), mitochondrial OS=Mus musculus OX=10090 GN=Gldc PE=1 SV=1",0.682926829,1,1,1,1025,113.195,7.56,106.6,94.1,102.7,109.8,93,93.8,0.977587343,0.748597115
Q6ZWU9,Rps27,40S ribosomal protein S27 OS=Mus musculus OX=10090 GN=Rps27 PE=1 SV=3,39.28571429,4,14,2,84,9.455,9.45,110.2,84.9,108.3,101.9,97.5,97.2,0.977587343,0.797730209
P41731,Cd63,CD63 antigen OS=Mus musculus OX=10090 GN=Cd63 PE=1 SV=2,15.12605042,3,11,3,238,25.749,6.98,101.5,97.2,104.7,105.3,91.1,100.2,0.977587343,0.653952748
Q80X41,Vrk1,Serine/threonine-protein kinase VRK1 OS=Mus musculus OX=10090 GN=Vrk1 PE=1 SV=2,34.09090909,11,17,11,440,49.709,8.94,102.9,96.9,103.5,100,97.4,99.1,0.977579954,0.368970471
P70349,Hint1,Histidine triad nucleotide-binding protein 1 OS=Mus musculus OX=10090 GN=Hint1 PE=1 SV=3,78.57142857,7,20,7,126,13.768,6.87,101,99.1,103.4,98,101.3,97.3,0.977265239,0.259466986
O35969,Gamt,Guanidinoacetate N-methyltransferase OS=Mus musculus OX=10090 GN=Gamt PE=1 SV=1,41.52542373,6,9,6,236,26.319,5.71,91,112.1,100.4,100.3,97.4,98.9,0.977265239,0.72782495
Q8C0L6,Paox,Peroxisomal N(1)-acetyl-spermine/spermidine oxidase OS=Mus musculus OX=10090 GN=Paox PE=1 SV=3,5.952380952,2,2,2,504,55.412,5.11,95.4,114.4,93.7,91.5,109.1,96,0.977265239,0.799609642
Q64442,Sord,Sorbitol dehydrogenase OS=Mus musculus OX=10090 GN=Sord PE=1 SV=3,9.243697479,3,3,3,357,38.225,7.02,98.6,106.3,98.6,101.1,94.7,100.8,0.977265239,0.525023499
O55028,Bckdk,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial OS=Mus musculus OX=10090 GN=Bckdk PE=1 SV=1",6.553398058,3,3,3,412,46.558,8.91,96.4,107.8,99.3,94.3,101,101.3,0.977265239,0.605907571
Q6P6J9,Txndc15,Thioredoxin domain-containing protein 15 OS=Mus musculus OX=10090 GN=Txndc15 PE=1 SV=1,4.069767442,1,1,1,344,38.122,4.77,110.1,97.7,95.7,99.4,94.1,103.1,0.977265239,0.681486267
Q6ZPR5,Smpd4,Sphingomyelin phosphodiesterase 4 OS=Mus musculus OX=10090 GN=Smpd4 PE=1 SV=2,11.17861482,7,9,7,823,93.216,8.13,99.1,107.7,96.6,95.8,102.6,98.1,0.977257746,0.5879925
Q8BHX1,Haus1,HAUS augmin-like complex subunit 1 OS=Mus musculus OX=10090 GN=Haus1 PE=1 SV=2,10.79136691,3,3,3,278,31.359,5.69,111.5,98.5,93.4,91.4,101.4,103.7,0.977257746,0.744286684
P52651,Rhox5,Homeobox protein Rhox5 OS=Mus musculus OX=10090 GN=Rhox5 PE=2 SV=1,15.71428571,3,5,3,210,23.031,6.25,100,106.9,96.5,96.9,102.2,97.4,0.977257746,0.546023727
Q3UVL4,Vps51,Vacuolar protein sorting-associated protein 51 homolog OS=Mus musculus OX=10090 GN=Vps51 PE=1 SV=2,16.24040921,11,13,11,782,86.133,6.24,99.4,111.2,92.8,95.4,101,100.1,0.977257746,0.705035004
Q9Z2U1,Psma5,Proteasome subunit alpha type-5 OS=Mus musculus OX=10090 GN=Psma5 PE=1 SV=1,63.48547718,12,36,12,241,26.394,4.79,104.1,92.8,106.6,100.7,97.8,98,0.97693575,0.619883912
Q3UIR3,Dtx3l,E3 ubiquitin-protein ligase DTX3L OS=Mus musculus OX=10090 GN=Dtx3l PE=1 SV=1,21.79144385,12,19,12,748,82.991,8.09,104.5,93.5,105.5,99.7,99.6,97.2,0.97693575,0.584652002
Q9EPU4,Cpsf1,Cleavage and polyadenylation specificity factor subunit 1 OS=Mus musculus OX=10090 GN=Cpsf1 PE=1 SV=1,12.76891048,14,21,14,1441,160.716,6.39,99.2,105.6,98.7,96.3,102.2,98,0.97693575,0.455982144
Q91XD6,Vps36,Vacuolar protein-sorting-associated protein 36 OS=Mus musculus OX=10090 GN=Vps36 PE=1 SV=1,29.79274611,10,14,10,386,43.708,7.15,99.9,106.2,97.4,92.2,101.3,103,0.97693575,0.612513378
P61957,Sumo2,Small ubiquitin-related modifier 2 OS=Mus musculus OX=10090 GN=Sumo2 PE=1 SV=1,23.15789474,2,6,2,95,10.864,5.5,105.9,90.1,107.5,100.6,98.2,97.7,0.97693575,0.699522912
Q91YR5,Mettl13,Methyltransferase-like protein 13 OS=Mus musculus OX=10090 GN=Mettl13 PE=1 SV=1,12.46418338,6,7,6,698,78.707,6.83,105.7,97.9,99.9,96.3,104.7,95.5,0.97693575,0.568379765
Q9ER38,Tor3a,Torsin-3A OS=Mus musculus OX=10090 GN=Tor3a PE=1 SV=2,15.06493506,4,4,4,385,43.785,6.28,95,105.2,103.3,97,103.6,95.9,0.97693575,0.586314839
P33215,Nedd1,Protein NEDD1 OS=Mus musculus OX=10090 GN=Nedd1 PE=1 SV=2,8.333333333,4,4,4,660,71.248,7.84,83.1,132.1,88.3,91.1,109.1,96.3,0.97693575,0.893958157
Q6PFD9,Nup98,Nuclear pore complex protein Nup98-Nup96 OS=Mus musculus OX=10090 GN=Nup98 PE=1 SV=2,17.2907489,24,33,24,1816,197.118,6.18,99.6,101.3,102.7,98.3,101.5,96.7,0.976613966,0.229779389
Q8R2Q4,Gfm2,"Ribosome-releasing factor 2, mitochondrial OS=Mus musculus OX=10090 GN=Gfm2 PE=1 SV=2",1.668806162,1,1,1,779,86.055,6.43,103.6,101.8,98.2,93.6,95.6,107.3,0.976613966,0.630996788
Q920B9,Supt16h,FACT complex subunit SPT16 OS=Mus musculus OX=10090 GN=Supt16h PE=1 SV=2,20.82139446,21,41,21,1047,119.749,5.66,102.8,98.7,102.1,96.3,100.8,99.4,0.976613966,0.266893744
Q8BFV2,Pcid2,PCI domain-containing protein 2 OS=Mus musculus OX=10090 GN=Pcid2 PE=1 SV=1,23.80952381,9,10,9,399,46.102,8.53,107.4,96.6,99.6,96,102.9,97.6,0.976613966,0.570556116
Q9D924,Isca1,"Iron-sulfur cluster assembly 1 homolog, mitochondrial OS=Mus musculus OX=10090 GN=Isca1 PE=2 SV=1",12.40310078,1,1,1,129,14.179,9.07,105.9,106.3,91.4,96,100.2,100.3,0.976613966,0.666864342
Q99LJ0,Cttnbp2nl,CTTNBP2 N-terminal-like protein OS=Mus musculus OX=10090 GN=Cttnbp2nl PE=1 SV=1,7.523510972,6,6,6,638,69.798,7.71,103.3,101.8,98.5,102.3,97.8,96.4,0.976613966,0.357037873
Q60722,Tcf4,Transcription factor 4 OS=Mus musculus OX=10090 GN=Tcf4 PE=1 SV=1,2.686567164,2,2,2,670,71.58,7.17,103.8,96.2,103.6,101.8,91.7,103,0.976613966,0.616847131
Q8BZJ7,Dcun1d2,DCN1-like protein 2 OS=Mus musculus OX=10090 GN=Dcun1d2 PE=1 SV=3,6.563706564,1,1,1,259,30.049,5.59,92.3,116.5,94.8,100,103.8,92.7,0.976613966,0.7908058
B2RQC2,Usp42,Ubiquitin carboxyl-terminal hydrolase 42 OS=Mus musculus OX=10090 GN=Usp42 PE=1 SV=1,1.510574018,1,1,1,1324,146.132,8.25,104.7,106.5,92.4,91.2,114.1,91.2,0.976613966,0.801845829
Q6ZQ38,Cand1,Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus OX=10090 GN=Cand1 PE=1 SV=2,42.43902439,45,110,44,1230,136.245,5.78,104.6,95.4,103.5,97.9,98.9,99.6,0.97660626,0.466290885
Q61584,Fxr1,Fragile X mental retardation syndrome-related protein 1 OS=Mus musculus OX=10090 GN=Fxr1 PE=1 SV=2,36.04135894,19,32,18,677,76.175,6.98,100.1,103.2,100.2,95,103.5,97.9,0.97660626,0.429283484
Q7TSG2,Ctdp1,RNA polymerase II subunit A C-terminal domain phosphatase OS=Mus musculus OX=10090 GN=Ctdp1 PE=1 SV=1,9.0625,6,7,6,960,104.49,5.39,96.4,115.8,91.3,89.6,110.9,95.9,0.97660626,0.820653711
P60762,Morf4l1,Mortality factor 4-like protein 1 OS=Mus musculus OX=10090 GN=Morf4l1 PE=1 SV=2,13.8121547,3,3,3,362,41.467,9.32,106.8,93.3,103.4,98.7,95.7,102,0.97660626,0.622512014
B2RY04,Dock5,Dedicator of cytokinesis protein 5 OS=Mus musculus OX=10090 GN=Dock5 PE=1 SV=2,0.802997859,2,2,1,1868,214.294,7.55,100,119.2,84.3,101.7,99.6,95.1,0.97660626,0.829177649
Q11011,Npepps,Puromycin-sensitive aminopeptidase OS=Mus musculus OX=10090 GN=Npepps PE=1 SV=2,43.15217391,31,49,31,920,103.26,5.9,103.8,101.1,98.7,99.3,100,97.1,0.976284585,0.233741645
Q921G8,Tubgcp2,Gamma-tubulin complex component 2 OS=Mus musculus OX=10090 GN=Tubgcp2 PE=1 SV=2,12.70718232,10,11,10,905,103.157,6.77,103.4,99.4,100.8,96.4,101.7,98.3,0.976284585,0.284424113
Q9CX13,Cnih4,Protein cornichon homolog 4 OS=Mus musculus OX=10090 GN=Cnih4 PE=2 SV=1,14.38848921,1,5,1,139,16.078,6.49,98.7,108.6,96.3,97.2,91.9,107.3,0.976284585,0.704053319
Q62465,Vat1,Synaptic vesicle membrane protein VAT-1 homolog OS=Mus musculus OX=10090 GN=Vat1 PE=1 SV=3,38.42364532,12,36,12,406,43.069,6.37,97.8,108.2,97.6,98.8,101,96.6,0.976284585,0.554348788
